2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RVVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RVVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EPICUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EPICUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ORDIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ORDIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LUMIAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LUMIAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZBTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZBTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for NILUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for NILUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VOXELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VOXELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VTHOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VTHOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ORDERUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ORDERUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TREEUSDT, starting LSFP analysis...
